"","Sample_ID","Layer","Tooth","dist_ERJ","d18O_carb","SD_carb","d18O_phos","SD_phos","carb_phos","pred_d18O_phos","PI_lwr","PI_upr","combined_phos"
"86","AXL77.6","VI","AXL77",13.63,22.78,0.14,14.2,0.1,8.58,13.8,12.4,15.1,14.2
"87","AXL77.7","VI","AXL77",15.56,24.39,0.14,NA,NA,NA,15.6,14.3,16.9,15.6
"88","AXL77.8","VI","AXL77",17.98,25.58,0.14,16,0.3,9.58,16.9,15.6,18.2,16
"89","AXL77.9","VI","AXL77",20.79,25.72,0.14,16.5,0.1,9.22,17.1,15.8,18.4,16.5
"90","AXL77.10","VI","AXL77",24.2,25.42,0.14,16.7,0.4,8.72,16.7,15.4,18.1,16.7
"91","AXL77.11","VI","AXL77",26.56,24.44,0.14,NA,NA,NA,15.6,14.3,17,15.6
"92","AXL77.12","VI","AXL77",28.79,24.95,0.14,NA,NA,NA,16.2,14.9,17.5,16.2
"93","AXL77.13","VI","AXL77",31.18,24.71,0.14,NA,NA,NA,15.9,14.6,17.3,15.9
"94","AXL77.14","VI","AXL77",34.47,24.82,0.14,NA,NA,NA,16.1,14.7,17.4,16.1
"95","AXL86.0","VI","AXL86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","AXL86.1","VI","AXL86",1.87,24.76,0.14,NA,NA,NA,16,14.7,17.3,16
"97","AXL86.2","VI","AXL86",4.87,25,0.14,15.8,0.2,9.2,16.3,14.9,17.6,15.8
"98","AXL86.3","VI","AXL86",7.21,24.24,0.14,16,0.2,8.24,15.4,14.1,16.7,16
"99","AXL86.4","VI","AXL86",10.98,25.72,0.14,NA,NA,NA,17.1,15.8,18.4,17.1
"100","AXL86.5","VI","AXL86",13.27,25.86,0.14,17.9,0.2,7.96,17.2,15.9,18.5,17.9
"101","AXL86.6","VI","AXL86",16.26,26.55,0.14,18.4,0.3,8.15,18,16.7,19.3,18.4
"102","AXL86.7","VI","AXL86",18.66,25.97,0.14,18.4,0.2,7.57,17.4,16,18.7,18.4
"103","AXL86.8","VI","AXL86",21.21,26.03,0.14,NA,NA,NA,17.4,16.1,18.7,17.4
"104","AXL86.9","VI","AXL86",23.82,25.44,0.14,NA,NA,NA,16.8,15.4,18.1,16.8
"105","AXL86.10","VI","AXL86",26.65,25.31,0.14,NA,NA,NA,16.6,15.3,17.9,16.6
"106","AXL86.11","VI","AXL86",29.16,25.18,0.14,NA,NA,NA,16.5,15.1,17.8,16.5
"107","AXL86.12","VI","AXL86",31.83,24.61,0.14,16.3,0.2,8.31,15.8,14.5,17.1,16.3
"108","AXL86.13","VI","AXL86",33.9,24.88,0.14,16.2,0.5,8.68,16.1,14.8,17.4,16.2
"109","AXL86.14","VI","AXL86",36.77,24.78,0.14,16.1,0.3,8.68,16,14.7,17.3,16.1
"110","AXL86.15","VI","AXL86",40.18,24.97,0.14,NA,NA,NA,16.2,14.9,17.5,16.2
"111","AXL86.16","VI","AXL86",43.06,25.44,0.14,NA,NA,NA,16.8,15.4,18.1,16.8
"112","AXL86.17","VI","AXL86",45.65,25.19,0.14,NA,NA,NA,16.5,15.2,17.8,16.5
"113","AXL86.18","VI","AXL86",47.79,26.96,0.14,16.5,0.2,10.46,18.5,17.1,19.8,16.5
