Sample_ID,Layer,Tooth,dist_ERJ,d18O_carb,SD_carb,d18O_phos,SD_phos
AXL77.2,VI,AXL77,4.25,24.67,0.14,NA,NA
AXL77.3,VI,AXL77,6.64,23.93,0.14,NA,NA
AXL77.4,VI,AXL77,9.36,23.12,0.14,13.8,0.2
AXL77.5,VI,AXL77,11.03,23.29,0.14,13.9,0.1
AXL77.6,VI,AXL77,13.63,22.78,0.14,14.2,0.1
AXL77.7,VI,AXL77,15.56,24.39,0.14,NA,NA
AXL77.8,VI,AXL77,17.98,25.58,0.14,16,0.3
AXL77.9,VI,AXL77,20.79,25.72,0.14,16.5,0.1
AXL77.10,VI,AXL77,24.2,25.42,0.14,16.7,0.4
AXL77.11,VI,AXL77,26.56,24.44,0.14,NA,NA
AXL77.12,VI,AXL77,28.79,24.95,0.14,NA,NA
AXL77.13,VI,AXL77,31.18,24.71,0.14,NA,NA
AXL77.14,VI,AXL77,34.47,24.82,0.14,NA,NA
AXL86.0,VI,AXL86,NA,NA,NA,NA,NA
AXL86.1,VI,AXL86,1.87,24.76,0.14,NA,NA
AXL86.2,VI,AXL86,4.87,25,0.14,15.8,0.2
AXL86.3,VI,AXL86,7.21,24.24,0.14,16,0.2
AXL86.4,VI,AXL86,10.98,25.72,0.14,NA,NA
AXL86.5,VI,AXL86,13.27,25.86,0.14,17.9,0.2
AXL86.6,VI,AXL86,16.26,26.55,0.14,18.4,0.3
AXL86.7,VI,AXL86,18.66,25.97,0.14,18.4,0.2
AXL86.8,VI,AXL86,21.21,26.03,0.14,NA,NA
AXL86.9,VI,AXL86,23.82,25.44,0.14,NA,NA
AXL86.10,VI,AXL86,26.65,25.31,0.14,NA,NA
AXL86.11,VI,AXL86,29.16,25.18,0.14,NA,NA
AXL86.12,VI,AXL86,31.83,24.61,0.14,16.3,0.2
AXL86.13,VI,AXL86,33.9,24.88,0.14,16.2,0.5
AXL86.14,VI,AXL86,36.77,24.78,0.14,16.1,0.3
AXL86.15,VI,AXL86,40.18,24.97,0.14,NA,NA
AXL86.16,VI,AXL86,43.06,25.44,0.14,NA,NA
AXL86.17,VI,AXL86,45.65,25.19,0.14,NA,NA
AXL86.18,VI,AXL86,47.79,26.96,0.14,16.5,0.2
