X,Tooth,dMeasd,ci_length,lower_CI,upper_CI,mean,Layer
28,AXL60,17.0237572485667,26.1,14.6820951694417,17.9655432626913,16.2850045025681,III
29,AXL60,17.8925974666243,29.5,16.961744868556,20.6044398315138,18.554449757486,III
30,AXL60,17.4544194994961,33.3,16.6582621989007,19.5926301153064,18.0294460973536,III
31,AXL60,17.9636872120474,33.6,17.9655418322338,22.1064764545888,19.7943179676019,III
32,AXL60,16.7285607722088,37.5,15.7614528576748,19.4100055525604,17.7452085697459,III
33,AXL60,16.7720032617693,41.5,17.4584630382214,20.5578619295904,18.962865519848,III
34,AXL60,15.5848987058195,43.6,14.5300415902563,19.7292723488621,17.2466027780848,III
35,AXL60,15.5903167679485,45.6,15.0014909686022,18.3045758962275,16.579593488365,III
36,AXL60,15.9615610774998,46.2,15.9273203237609,19.2809421948087,17.5627942771437,III
37,AXL60,15.4661357808428,49.2,12.7943428886224,16.9407738601742,14.7081366682152,III
38,AXL60,15.1633620633363,52.9,14.4053245425181,18.0931655410532,16.427718111607,III
39,AXL65,15.2861316703765,3.2,15.2573354819461,17.5597906891533,16.2445563298713,III
40,AXL65,15.2861316703765,7,13.8727339548484,18.1232043167348,16.1362424338398,III
41,AXL65,14.4062309091114,7.7,7.67712408253594,12.8317947983009,10.2136615326982,III
42,AXL65,14.5703190343943,8.9,9.70028149366705,16.8093908191929,13.3198949026418,III
43,AXL65,15.3919208035567,12.2,13.4147986084848,16.919631032926,15.0365038055301,III
44,AXL65,15.1969577082475,15.4,11.0837538340056,14.1226351615664,12.673979693307,III
45,AXL65,16.136586288907,16.9,12.8059453436197,16.9404130064916,14.6778242300983,III
46,AXL65,16.395126811139,19.7,14.2532977885067,17.1658346300083,15.6918086264072,III
47,AXL65,16.9964952089397,22.5,13.8869504443994,16.9098375722377,15.4405486906149,III
48,AXL65,16.8741291737059,26.3,15.8036358665519,19.6309627890172,17.8444719112139,III
49,AXL65,16.7330738196318,29.1,15.2672726604849,18.6112725607858,16.9154790190813,III
50,AXL65,16.7781320201663,32.4,16.2258493476709,19.3001280902511,17.8168485494798,III
51,AXL65,16.0109742598438,33.4,13.7710496850027,18.2976687551325,16.146305088635,III
52,AXL65,15.4064599193309,34.4,13.0882724328001,16.4628420363908,15.1460496508209,III
53,AXL65,15.4064599193309,37.6,16.1732909209958,17.9276632930192,17.0727296426064,III
54,AXL65,15.4064599193309,40.8,15.5983994659059,17.8920730790385,16.5932619331635,III
55,AXL65,15.4064599193309,44,15.3919836876272,17.3612130845327,16.2898226109547,III
56,AXL66,16.9723275755461,2.3,15.3638441914494,17.234995852073,16.3577406021179,III
57,AXL66,16.9723275755461,4.4,16.253905218576,19.424268060643,17.7801042455686,III
58,AXL66,16.2564957868955,8.3,12.3397615086157,15.3990911745575,13.8447674517985,III
59,AXL66,15.8993841695038,8.5,10.3446770922354,15.0703457541601,12.6178890993548,III
60,AXL66,15.4817983728686,11.3,10.4205946340195,14.084954463326,12.1492226321257,III
